Team,Position,Name,Minutes played,Games played,Yellow Cards,Red Cards,Goals scored,Penalties scored,Own goals,Tackles,Shots,Assists,Passes,Goals_per_Game,Cards_per_Game,Pass_Accuracy_Estimate,Set
Real Betis,Defender,Julio Alonso,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Defender,Edgar González,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Midfielder,Kaptoum,776.0,10,2,0,0,0,0,1,2,0,324.0,0.0,0.2,0.0,Train
Real Betis,Midfielder,Javi García,520.0,13,0,1,0,0,0,1,0,0,444.0,0.0,0.15384615384615385,0.0,Train
Real Betis,Midfielder,Canales,2.658,32,7,0,7,2,0,3,45,2,1.736,0.21875,0.21875,1.1520737327188941,Train
Real Betis,Midfielder,Tello Herrera,1.5590000000000002,29,4,0,4,0,0,0,29,6,778.0,0.13793103448275862,0.13793103448275862,0.007712082262210797,Test
Real Betis,Midfielder,William Carvalho,2.386,30,7,0,0,0,0,0,8,5,1.904,0.0,0.23333333333333334,2.6260504201680672,Train
Real Betis,Midfielder,Joaquín,1.694,30,5,0,6,0,0,2,18,0,846.0,0.2,0.16666666666666666,0.0,Train
Real Betis,Midfielder,A. Guardado,2.338,31,8,0,0,0,0,1,19,4,1.592,0.0,0.25806451612903225,2.5125628140703515,Test
Real Betis,Midfielder,Giovani Lo Celso,2.4,32,5,0,9,2,0,1,44,4,1.4240000000000002,0.28125,0.15625,2.8089887640449436,Train
Real Betis,Midfielder,Diego Lainez,348.0,12,2,0,0,0,0,0,4,1,123.0,0.0,0.16666666666666666,0.008130081300813009,Train
Real Betis,Midfielder,Adrián Tellado,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Midfielder,Irizo,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Midfielder,Robert,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Midfielder,Diego Altamirano,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Midfielder,Jaime Garijo,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Midfielder,Paul Akouokou,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Betis,Forward,Sergio León,632.0,16,1,0,0,0,0,0,10,1,99.0,0.0,0.0625,0.010101010101010102,Test
Real Betis,Forward,Jesé,782.0,14,2,0,2,0,0,0,15,0,193.0,0.14285714285714285,0.14285714285714285,0.0,Train
Real Betis,Forward,Loren,1.958,33,3,0,6,0,0,1,50,0,337.0,0.18181818181818182,0.09090909090909091,0.0,Train
Real Madrid,Goalkeeper,Luca Zidane,90.0,1,0,0,0,0,0,0,0,0,38.0,0.0,0.0,0.0,Test
Real Madrid,Goalkeeper,Navas,900.0,10,1,0,0,0,0,0,0,0,236.0,0.0,0.1,0.0,Test
Real Madrid,Goalkeeper,Courtois,2.43,27,2,0,0,0,0,0,1,0,672.0,0.0,0.07407407407407407,0.0,Train
Real Madrid,Defender,Javi Sánchez,45.0,1,1,0,0,0,0,0,0,0,8.0,0.0,1.0,0.0,Train
Real Madrid,Defender,Carvajal,2.106,24,10,0,1,0,0,7,8,2,1.55,0.041666666666666664,0.4166666666666667,1.2903225806451613,Train
Real Madrid,Defender,Vallejo,311.0,5,1,1,1,0,0,4,1,0,156.0,0.2,0.6,0.0,Train
Real Madrid,Defender,Sergio Ramos,2.474,28,5,1,6,5,0,15,25,1,1.917,0.21428571428571427,0.25,0.5216484089723527,Test
Real Madrid,Defender,Varane,2.755,32,0,1,2,0,0,9,12,0,1.707,0.0625,0.0625,0.0,Train
Real Madrid,Defender,Nacho,1.7009999999999998,20,6,1,0,0,0,7,5,1,987.0,0.0,0.4,0.0010131712259371835,Train
Real Madrid,Defender,Marcelo,1.841,23,6,0,2,0,0,2,27,2,1.324,0.08695652173913043,0.2608695652173913,1.510574018126888,Test
Real Madrid,Defender,Odriozola,1.179,14,2,0,0,0,0,1,1,2,594.0,0.0,0.14285714285714285,0.003367003367003367,Test
Real Madrid,Defender,Reguilón,1.121,14,3,0,0,0,0,3,4,2,666.0,0.0,0.21428571428571427,0.003003003003003003,Train
Real Madrid,Defender,Adrián de la Fuente,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Madrid,Defender,Francisco Garcia,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Madrid,Midfielder,Kroos,2.227,28,2,0,0,0,0,4,20,4,2.072,0.0,0.07142857142857142,1.9305019305019304,Train
Real Madrid,Midfielder,Modrić,2.617,34,6,0,3,0,0,3,26,6,1.891,0.08823529411764706,0.17647058823529413,3.1729243786356425,Train
Real Madrid,Midfielder,Casemiro,2.316,29,5,1,3,0,0,12,29,0,1.618,0.10344827586206896,0.2413793103448276,0.0,Train
Real Madrid,Midfielder,Valverde,651.0,16,4,0,0,0,0,2,4,0,373.0,0.0,0.25,0.0,Train
Real Madrid,Midfielder,M. Llorente,540.0,7,1,0,0,0,0,0,1,0,375.0,0.0,0.14285714285714285,0.0,Train
Real Madrid,Midfielder,Asensio,1.778,30,3,0,1,0,0,1,33,4,912.0,0.03333333333333333,0.1,0.0043859649122807015,Train
Real Madrid,Midfielder,Brahim Díaz,378.0,9,0,0,1,0,0,0,7,1,163.0,0.1111111111111111,0.0,0.006134969325153374,Train
Real Madrid,Midfielder,Isco,1.186,27,3,0,3,0,0,1,16,2,928.0,0.1111111111111111,0.1111111111111111,0.0021551724137931034,Train
